user_id,order_date,order_amount,days,order_num,amount_acc,rfm
0,2016-09-07,8954,0,1,8954,ランクD
0,2016-09-21,8350,14,2,17304,ランクD
0,2016-10-31,8696,40,3,26000,ランクC
0,2016-11-22,8495,22,4,34495,ランクC
0,2017-02-07,830,77,5,35325,ランクC
0,2017-03-28,7100,49,6,42425,ランクB
0,2017-06-15,3610,79,7,46035,ランクC
0,2017-06-20,5485,5,8,51520,ランクA
0,2017-08-02,826,43,9,52346,ランクB
0,2017-08-10,3154,8,10,55500,ランクA
0,2017-09-07,5349,28,11,60849,ランクA
0,2017-11-18,7400,72,12,68249,ランクC
1,2016-11-26,2263,0,1,2263,ランクD
1,2017-01-24,7814,59,2,10077,ランクD
1,2017-03-09,3179,44,3,13256,ランクC
1,2017-04-12,8415,34,4,21671,ランクC
1,2017-05-26,8639,44,5,30310,ランクB
1,2017-10-19,101,146,6,30411,ランクD
1,2017-11-08,313,20,7,30724,ランクB
2,2016-07-22,5645,0,1,5645,ランクD
2,2016-10-02,4781,72,2,10426,ランクD
2,2016-10-03,6211,1,3,16637,ランクC
2,2016-10-17,5912,14,4,22549,ランクC
2,2016-11-04,7947,18,5,30496,ランクB
2,2016-12-14,7750,40,6,38246,ランクB
2,2017-01-03,5091,20,7,43337,ランクB
2,2017-05-01,2877,118,8,46214,ランクC
2,2017-10-28,6253,180,9,52467,ランクD
3,2016-07-14,24,0,1,24,ランクD
3,2016-07-17,1239,3,2,1263,ランクD
3,2016-07-22,6943,5,3,8206,ランクD
3,2017-02-06,708,199,4,8914,ランクD
3,2017-02-08,2189,2,5,11103,ランクC
3,2017-06-06,6438,118,6,17541,ランクC
3,2017-06-15,282,9,7,17823,ランクC
3,2017-06-17,8393,2,8,26216,ランクC
3,2017-07-06,4064,19,9,30280,ランクB
3,2017-08-02,2440,27,10,32720,ランクB
3,2017-08-22,998,20,11,33718,ランクB
4,2016-10-15,800,0,1,800,ランクD
4,2016-10-17,6092,2,2,6892,ランクD
4,2016-11-10,7365,24,3,14257,ランクC
4,2016-11-13,6519,3,4,20776,ランクC
4,2016-11-27,1937,14,5,22713,ランクC
4,2016-11-28,638,1,6,23351,ランクC
4,2017-03-20,3608,112,7,26959,ランクC
4,2017-04-28,2692,39,8,29651,ランクC
4,2017-05-03,6686,5,9,36337,ランクB
4,2017-05-29,3519,26,10,39856,ランクB
4,2017-06-23,1686,25,11,41542,ランクB
4,2017-07-30,6938,37,12,48480,ランクB
4,2017-08-11,2526,12,13,51006,ランクA
4,2017-08-25,119,14,14,51125,ランクA
4,2017-10-08,9227,44,15,60352,ランクB
5,2016-07-13,7675,0,1,7675,ランクD
5,2016-07-23,9109,10,2,16784,ランクD
5,2016-08-12,4346,20,3,21130,ランクC
5,2016-11-04,9024,84,4,30154,ランクC
5,2016-12-18,3241,44,5,33395,ランクB
5,2016-12-31,8397,13,6,41792,ランクB
5,2017-01-05,9509,5,7,51301,ランクA
5,2017-01-28,3048,23,8,54349,ランクA
5,2017-02-22,1756,25,9,56105,ランクA
5,2017-04-06,4156,43,10,60261,ランクB
5,2017-04-16,2356,10,11,62617,ランクA
5,2017-05-28,7633,42,12,70250,ランクB
5,2017-07-11,6528,44,13,76778,ランクB
5,2017-07-13,63,2,14,76841,ランクA
5,2017-08-21,207,39,15,77048,ランクB
5,2017-09-19,9190,29,16,86238,ランクA
5,2017-10-04,5715,15,17,91953,ランクA
5,2017-10-24,7052,20,18,99005,ランクA
5,2017-10-27,1392,3,19,100397,ランクA
6,2016-08-05,7968,0,1,7968,ランクD
6,2016-10-04,9931,60,2,17899,ランクD
6,2016-11-18,3386,45,3,21285,ランクC
6,2017-02-16,9199,90,4,30484,ランクC
6,2017-04-29,477,72,5,30961,ランクC
6,2017-05-12,7845,13,6,38806,ランクB
6,2017-07-05,8444,54,7,47250,ランクB
6,2017-10-24,3506,111,8,50756,ランクC
6,2017-11-11,7436,18,9,58192,ランクA
6,2017-11-20,6357,9,10,64549,ランクA
7,2016-10-27,7540,0,1,7540,ランクD
7,2016-11-07,3077,11,2,10617,ランクD
7,2016-11-19,2271,12,3,12888,ランクC
7,2016-12-08,2281,19,4,15169,ランクC
7,2017-10-09,3447,305,5,18616,ランクD
7,2017-10-27,2322,18,6,20938,ランクC
7,2017-11-18,2831,22,7,23769,ランクC
8,2016-08-05,7099,0,1,7099,ランクD
8,2016-12-28,9471,145,2,16570,ランクD
8,2017-06-12,7288,166,3,23858,ランクD
8,2017-06-15,5475,3,4,29333,ランクC
8,2017-06-18,7747,3,5,37080,ランクB
8,2017-08-09,1249,52,6,38329,ランクB
8,2017-08-22,9301,13,7,47630,ランクB
8,2017-09-17,1629,26,8,49259,ランクB
8,2017-10-01,8813,14,9,58072,ランクA
8,2017-10-03,1145,2,10,59217,ランクA
8,2017-10-31,4676,28,11,63893,ランクA
9,2016-08-15,7393,0,1,7393,ランクD
9,2016-10-04,7613,50,2,15006,ランクD
9,2017-01-03,4035,91,3,19041,ランクC
9,2017-01-18,3252,15,4,22293,ランクC
9,2017-07-01,9853,164,5,32146,ランクD
9,2017-07-03,128,2,6,32274,ランクB
9,2017-08-20,45,48,7,32319,ランクB
9,2017-08-28,426,8,8,32745,ランクB
9,2017-09-06,8391,9,9,41136,ランクB
9,2017-10-27,8082,51,10,49218,ランクB
9,2017-10-28,6971,1,11,56189,ランクA
10,2016-08-10,5536,0,1,5536,ランクD
10,2016-09-01,9996,22,2,15532,ランクD
10,2016-11-03,9646,63,3,25178,ランクC
10,2016-11-17,6152,14,4,31330,ランクC
10,2017-06-11,5054,206,5,36384,ランクD
10,2017-06-24,9235,13,6,45619,ランクB
10,2017-09-03,8086,71,7,53705,ランクC
10,2017-09-17,8113,14,8,61818,ランクA
10,2017-09-21,6610,4,9,68428,ランクA
10,2017-10-04,3210,13,10,71638,ランクA
10,2017-10-28,4720,24,11,76358,ランクA
11,2016-07-27,3872,0,1,3872,ランクD
11,2017-03-12,4714,228,2,8586,ランクD
11,2017-05-01,1778,50,3,10364,ランクC
11,2017-06-03,3030,33,4,13394,ランクC
11,2017-06-12,3528,9,5,16922,ランクC
11,2017-06-18,98,6,6,17020,ランクC
11,2017-06-28,4259,10,7,21279,ランクC
11,2017-07-14,7956,16,8,29235,ランクC
11,2017-07-18,2304,4,9,31539,ランクB
11,2017-08-14,1500,27,10,33039,ランクB
11,2017-08-21,6490,7,11,39529,ランクB
11,2017-09-21,7304,31,12,46833,ランクB
11,2017-09-30,7220,9,13,54053,ランクA
11,2017-11-16,2013,47,14,56066,ランクB
12,2016-07-24,2617,0,1,2617,ランクD
12,2016-08-17,8877,24,2,11494,ランクD
12,2016-08-24,4231,7,3,15725,ランクC
12,2016-11-13,7386,81,4,23111,ランクC
12,2017-01-15,7972,63,5,31083,ランクC
12,2017-01-28,2680,13,6,33763,ランクB
